City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Ponnani,10.767,75.9252,79.92,84,56,2.33,IN,broken clouds,2022-04-07 22:08:18
1,Sladkovo,55.5284,70.3385,34.09,99,98,10.49,RU,snow,2022-04-07 22:13:15
2,Saint-Philippe,-21.3585,55.7679,72.99,86,55,14.18,RE,light rain,2022-04-07 22:09:17
3,Rikitea,-23.1203,-134.9692,79.41,72,5,15.66,PF,clear sky,2022-04-07 22:06:56
4,Karachi,24.9056,67.0822,82.22,44,0,4.61,PK,clear sky,2022-04-07 22:08:24
5,Butaritari,3.0707,172.7902,81.25,79,99,13.8,KI,light rain,2022-04-07 22:06:57
6,Hilo,19.7297,-155.09,80.33,73,100,13.8,US,overcast clouds,2022-04-07 22:10:54
7,Muros,42.7762,-9.0603,58.08,83,100,20.49,ES,overcast clouds,2022-04-07 22:13:16
8,Albany,42.6001,-73.9662,47.64,91,100,5.01,US,moderate rain,2022-04-07 22:10:41
9,Atuona,-9.8,-139.0333,79.23,71,29,14.79,PF,scattered clouds,2022-04-07 22:13:16
10,Mataura,-46.1927,168.8643,51.82,89,99,10.65,NZ,overcast clouds,2022-04-07 22:13:17
11,Port Elizabeth,-33.918,25.5701,59.09,77,45,4.0,ZA,scattered clouds,2022-04-07 22:13:01
12,At-Bashi,41.1702,75.8106,44.51,56,100,0.81,KG,overcast clouds,2022-04-07 22:13:17
13,Bredasdorp,-34.5322,20.0403,55.83,76,12,4.23,ZA,few clouds,2022-04-07 22:13:17
14,Busselton,-33.65,115.3333,64.72,66,89,8.5,AU,overcast clouds,2022-04-07 22:13:18
15,East London,-33.0153,27.9116,60.51,65,15,14.88,ZA,few clouds,2022-04-07 22:06:54
16,New Norfolk,-42.7826,147.0587,49.71,87,16,1.88,AU,few clouds,2022-04-07 22:08:22
17,Souillac,-20.5167,57.5167,77.16,85,77,12.93,MU,broken clouds,2022-04-07 22:11:39
18,Tabou,4.423,-7.3528,80.44,83,43,6.26,CI,scattered clouds,2022-04-07 22:13:19
19,Cape Town,-33.9258,18.4232,60.28,68,0,11.01,ZA,clear sky,2022-04-07 22:09:22
20,Diego De Almagro,-26.3667,-70.05,78.91,19,0,13.15,CL,clear sky,2022-04-07 22:13:19
21,Hobart,-42.8794,147.3294,50.05,89,0,5.75,AU,clear sky,2022-04-07 22:04:57
22,Faanui,-16.4833,-151.75,81.82,76,21,19.17,PF,light rain,2022-04-07 22:13:20
23,Acapulco,16.8634,-99.8901,78.62,73,100,17.27,MX,overcast clouds,2022-04-07 22:13:20
24,Omboue,-1.5746,9.2618,78.26,92,85,8.32,GA,overcast clouds,2022-04-07 22:13:20
25,Ushuaia,-54.8,-68.3,38.86,70,20,12.66,AR,few clouds,2022-04-07 22:10:17
26,Pouembout,-21.1333,164.9,81.27,80,98,9.75,NC,light rain,2022-04-07 22:13:21
27,Dikson,73.5069,80.5464,2.41,98,100,11.3,RU,overcast clouds,2022-04-07 22:13:21
28,Hermanus,-34.4187,19.2345,57.04,78,5,11.03,ZA,clear sky,2022-04-07 22:06:56
29,Qaanaaq,77.484,-69.3632,-4.81,77,11,6.51,GL,few clouds,2022-04-07 22:09:15
30,Maibong,25.3,93.1667,66.96,79,1,0.94,IN,clear sky,2022-04-07 22:13:22
31,Thompson,55.7435,-97.8558,35.98,72,79,5.41,CA,broken clouds,2022-04-07 22:08:17
32,Sibolga,1.7427,98.7792,75.2,85,100,2.08,ID,overcast clouds,2022-04-07 22:08:13
33,Victor Harbor,-35.5667,138.6167,60.82,78,0,5.77,AU,clear sky,2022-04-07 22:10:20
34,Esperance,-33.8667,121.9,64.47,60,41,18.79,AU,scattered clouds,2022-04-07 22:10:28
35,Zhigalovo,54.8097,105.1578,31.64,95,96,2.98,RU,overcast clouds,2022-04-07 22:13:22
36,Hithadhoo,-0.6,73.0833,82.08,63,17,3.8,MV,few clouds,2022-04-07 22:05:17
37,Vaini,-21.2,-175.2,82.56,83,75,1.14,TO,broken clouds,2022-04-07 22:11:45
38,Lebu,-37.6167,-73.65,58.66,91,59,10.07,CL,broken clouds,2022-04-07 22:13:23
39,Floro,61.5996,5.0328,37.96,44,0,8.05,NO,clear sky,2022-04-07 22:13:23
40,Carnarvon,-24.8667,113.6333,77.07,78,100,10.36,AU,overcast clouds,2022-04-07 22:11:50
41,La Rioja,42.25,-2.5,53.38,74,100,8.19,ES,overcast clouds,2022-04-07 22:13:24
42,Atar,20.5169,-13.0499,77.58,17,0,11.03,MR,clear sky,2022-04-07 22:13:24
43,Lompoc,34.6391,-120.4579,95.77,21,0,5.75,US,clear sky,2022-04-07 22:08:08
44,Naze,28.3667,129.4833,63.21,70,28,11.54,JP,scattered clouds,2022-04-07 22:13:25
45,Yantarnyy,54.8717,19.9381,42.66,83,97,12.88,RU,overcast clouds,2022-04-07 22:13:25
46,Abu Samrah,35.3029,37.1841,60.71,56,100,7.0,SY,overcast clouds,2022-04-07 22:13:25
47,Alofi,-19.0595,-169.9187,84.09,74,75,14.97,NU,broken clouds,2022-04-07 22:13:26
48,Torbay,47.6666,-52.7314,35.76,93,100,11.01,CA,overcast clouds,2022-04-07 22:14:26
49,Khatanga,71.9667,102.5,0.86,94,98,11.99,RU,overcast clouds,2022-04-07 22:07:02
50,Bluff,-46.6,168.3333,56.52,65,91,27.38,NZ,overcast clouds,2022-04-07 22:14:26
51,Haapiti,-17.5667,-149.8667,83.93,72,6,17.63,PF,clear sky,2022-04-07 22:14:27
52,Kidal,18.4411,1.4078,91.76,6,0,7.56,ML,clear sky,2022-04-07 22:14:27
53,Kruisfontein,-34.0033,24.7314,56.88,82,22,7.23,ZA,light rain,2022-04-07 22:09:17
54,Pimentel,-6.8367,-79.9342,73.69,68,0,21.85,PE,clear sky,2022-04-07 22:14:28
55,Severo-Kurilsk,50.6789,156.125,31.78,75,100,3.4,RU,overcast clouds,2022-04-07 22:14:28
56,Arraial Do Cabo,-22.9661,-42.0278,75.2,81,18,5.41,BR,few clouds,2022-04-07 22:10:24
57,Punta Arenas,-53.15,-70.9167,42.91,75,0,5.75,CL,clear sky,2022-04-07 22:14:28
58,Foam Lake,51.65,-103.5343,32.09,90,83,6.38,CA,broken clouds,2022-04-07 22:14:29
59,Nacala,-14.5428,40.6728,76.1,90,6,2.51,MZ,light rain,2022-04-07 22:14:29
60,Kapaa,22.0752,-159.319,80.58,69,40,20.71,US,scattered clouds,2022-04-07 22:13:01
61,Butembo,0.15,29.2833,59.68,76,98,3.15,CD,overcast clouds,2022-04-07 22:14:29
62,Kavieng,-2.5744,150.7967,78.19,88,100,3.49,PG,moderate rain,2022-04-07 22:07:07
63,Mar Del Plata,-38.0023,-57.5575,65.08,89,75,11.99,AR,broken clouds,2022-04-07 22:14:30
64,Polignano A Mare,40.9959,17.2159,56.12,72,39,7.09,IT,scattered clouds,2022-04-07 22:14:30
65,Kaitangata,-46.2817,169.8464,53.64,79,100,14.54,NZ,overcast clouds,2022-04-07 22:06:59
66,Pyaozerskiy,65.8333,31.1667,20.1,97,81,6.4,RU,broken clouds,2022-04-07 22:14:31
67,Chuy,-33.6971,-53.4616,65.21,84,100,6.85,UY,overcast clouds,2022-04-07 22:05:49
68,Te Anau,-45.4167,167.7167,54.27,77,96,6.24,NZ,overcast clouds,2022-04-07 22:14:31
69,Hastings,50.8552,0.5729,47.28,66,82,16.46,GB,broken clouds,2022-04-07 22:11:59
70,Ponta Do Sol,32.6667,-17.1,61.43,74,53,2.15,PT,broken clouds,2022-04-07 22:10:34
71,Chokurdakh,70.6333,147.9167,-11.54,87,69,4.97,RU,broken clouds,2022-04-07 22:11:44
72,Nanzhang,31.7765,111.8386,61.79,75,0,2.06,CN,clear sky,2022-04-07 22:14:32
73,Along,28.1667,94.7667,62.56,95,99,2.66,IN,overcast clouds,2022-04-07 22:14:32
74,Tawau,4.2498,117.8871,75.99,92,100,2.21,MY,moderate rain,2022-04-07 22:14:33
75,Puerto Ayora,-0.7393,-90.3518,84.16,75,28,10.0,EC,scattered clouds,2022-04-07 22:10:33
76,Agadez,19.75,10.25,83.41,7,1,3.91,NE,clear sky,2022-04-07 22:14:33
77,Jamestown,42.097,-79.2353,43.02,74,100,5.75,US,light rain,2022-04-07 22:03:55
78,Betioky,-23.7167,44.3833,70.93,87,27,0.76,MG,scattered clouds,2022-04-07 22:14:34
79,Komsomolskiy,40.4272,71.7189,66.92,39,81,6.91,UZ,broken clouds,2022-04-07 22:14:34
80,Rocha,-34.4833,-54.3333,63.16,76,100,5.12,UY,overcast clouds,2022-04-07 22:14:35
81,Cherskiy,68.75,161.3,-7.91,97,84,3.29,RU,broken clouds,2022-04-07 22:11:46
82,Sao Joao Da Barra,-21.6403,-41.0511,76.32,79,97,8.1,BR,overcast clouds,2022-04-07 22:14:35
83,Port Alfred,-33.5906,26.891,54.18,83,40,3.0,ZA,scattered clouds,2022-04-07 22:06:57
84,Chernyakhovsk,54.6335,21.8156,50.5,81,100,23.49,RU,light rain,2022-04-07 22:14:36
85,Nemuro,43.3236,145.575,32.47,86,100,10.51,JP,overcast clouds,2022-04-07 22:14:17
86,Pochutla,15.7432,-96.4661,90.82,39,100,8.81,MX,overcast clouds,2022-04-07 22:14:36
87,Tomatlan,19.9333,-105.25,87.06,43,78,8.63,MX,broken clouds,2022-04-07 22:14:37
88,Cordoba,-31.4135,-64.1811,77.76,61,0,6.91,AR,clear sky,2022-04-07 22:14:37
89,Bambous Virieux,-20.3428,57.7575,76.21,83,48,14.16,MU,light rain,2022-04-07 22:11:47
90,Kodiak,57.79,-152.4072,40.51,75,100,3.44,US,light snow,2022-04-07 22:14:37
91,Castro,-24.7911,-50.0119,65.32,91,100,4.9,BR,moderate rain,2022-04-07 22:08:11
92,Marawi,7.9986,124.2928,69.48,97,100,3.74,PH,light rain,2022-04-07 22:09:41
93,Isangel,-19.55,169.2667,82.54,72,100,12.95,VU,overcast clouds,2022-04-07 22:07:00
94,Caceres,39.522,-6.3748,46.76,85,13,7.43,ES,few clouds,2022-04-07 22:15:38
95,Vardo,70.3705,31.1107,32.23,67,60,19.93,NO,broken clouds,2022-04-07 22:15:38
96,Marsa Matruh,31.3525,27.2453,63.23,82,94,19.95,EG,overcast clouds,2022-04-07 22:15:39
97,Haines Junction,60.7522,-137.5108,39.15,48,100,5.75,CA,overcast clouds,2022-04-07 22:15:39
98,Nuuk,64.1835,-51.7216,23.61,86,75,15.01,GL,light snow,2022-04-07 22:15:16
99,Pacific Grove,36.6177,-121.9166,88.56,58,17,5.21,US,few clouds,2022-04-07 22:15:40
100,Belle Fourche,44.6714,-103.8522,46.33,40,56,24.83,US,broken clouds,2022-04-07 22:15:40
101,Longyearbyen,78.2186,15.6401,6.64,72,20,17.27,SJ,few clouds,2022-04-07 22:15:40
102,Shevchenkove,49.6959,37.1735,46.81,65,64,8.75,UA,broken clouds,2022-04-07 22:15:41
103,Heiligenhafen,54.3667,10.9833,41.76,89,96,25.95,DE,overcast clouds,2022-04-07 22:15:41
104,Moreira Sales,-24.0622,-53.0069,74.41,81,55,2.19,BR,heavy intensity rain,2022-04-07 22:15:41
105,Provideniya,64.3833,-173.3,5.36,78,40,7.0,RU,light snow,2022-04-07 22:15:42
106,Arawa,-6.2132,155.5367,75.83,88,99,0.29,PG,overcast clouds,2022-04-07 22:15:42
107,Tuktoyaktuk,69.4541,-133.0374,26.91,81,100,7.02,CA,overcast clouds,2022-04-07 22:11:38
108,Zakupne,49.1194,26.3376,47.8,63,57,13.47,UA,broken clouds,2022-04-07 22:15:43
109,Mana,5.6592,-53.7767,77.02,89,39,11.23,GF,light rain,2022-04-07 22:15:43
110,Laguna,38.421,-121.4238,91.18,27,0,5.75,US,clear sky,2022-04-07 22:15:43
111,Aykhal,66.0,111.5,8.6,98,100,5.06,RU,overcast clouds,2022-04-07 22:15:44
112,Sisimiut,66.9395,-53.6735,11.59,90,5,8.59,GL,clear sky,2022-04-07 22:15:44
113,Cap Malheureux,-19.9842,57.6142,76.46,87,7,3.0,MU,clear sky,2022-04-07 22:15:45
114,Ostrovnoy,68.0531,39.5131,20.66,85,5,11.59,RU,clear sky,2022-04-07 22:15:45
115,Bundaberg,-24.85,152.35,77.22,82,18,11.5,AU,few clouds,2022-04-07 22:15:46
116,Barrow,71.2906,-156.7887,1.42,71,0,0.0,US,clear sky,2022-04-07 22:10:36
117,Pandan,14.0453,124.1694,77.56,87,100,5.84,PH,overcast clouds,2022-04-07 22:15:46
118,Saint George,37.1041,-113.5841,79.95,9,0,5.01,US,clear sky,2022-04-07 22:10:35
119,Eura,61.1333,22.1333,31.78,97,100,12.97,FI,light snow,2022-04-07 22:15:46
120,Vila Velha,-20.3297,-40.2925,78.75,83,75,8.05,BR,broken clouds,2022-04-07 22:15:47
121,Gerash,27.6652,54.1371,71.58,15,2,2.93,IR,clear sky,2022-04-07 22:15:47
122,Bata,1.8639,9.7658,80.24,86,86,3.42,GQ,overcast clouds,2022-04-07 22:15:48
123,Pyay,18.8167,95.2167,82.17,67,88,6.06,MM,overcast clouds,2022-04-07 22:15:48
124,Port Hardy,50.6996,-127.4199,48.38,76,100,8.05,CA,light rain,2022-04-07 22:15:47
125,Tuatapere,-46.1333,167.6833,55.24,72,98,13.82,NZ,overcast clouds,2022-04-07 22:07:04
126,Chulym,55.0997,80.9572,28.51,93,100,5.26,RU,overcast clouds,2022-04-07 22:11:08
127,Chenghai,23.4632,116.768,57.11,94,0,0.0,CN,clear sky,2022-04-07 22:15:49
128,Airai,-8.9266,125.4092,59.25,81,100,2.26,TL,overcast clouds,2022-04-07 22:07:05
129,Tasiilaq,65.6145,-37.6368,19.56,95,100,11.36,GL,light snow,2022-04-07 22:10:32
130,Fortuna,40.5982,-124.1573,70.86,69,0,17.27,US,clear sky,2022-04-07 22:15:49
131,Richards Bay,-28.783,32.0377,66.54,85,100,9.66,ZA,light rain,2022-04-07 22:12:58
132,Christchurch,-43.5333,172.6333,57.9,76,0,6.91,NZ,clear sky,2022-04-07 22:15:50
133,Ribeira Grande,38.5167,-28.7,60.73,82,100,8.39,PT,overcast clouds,2022-04-07 22:15:50
134,Palmer,42.1584,-72.3287,50.63,75,100,6.91,US,overcast clouds,2022-04-07 22:08:10
135,Santa Ines,-3.6667,-45.38,75.49,95,98,4.09,BR,heavy intensity rain,2022-04-07 22:15:50
136,Esna,25.2934,32.554,86.11,12,26,2.64,EG,scattered clouds,2022-04-07 22:15:51
137,Waipawa,-41.4122,175.5153,55.76,65,5,3.85,NZ,clear sky,2022-04-07 22:15:51
138,Fano,43.8204,13.0121,60.98,61,88,15.97,IT,overcast clouds,2022-04-07 22:15:51
139,Srednekolymsk,67.45,153.6833,0.09,91,49,6.87,RU,scattered clouds,2022-04-07 22:15:52
140,Lakes Entrance,-37.8811,147.981,60.66,82,73,10.07,AU,broken clouds,2022-04-07 22:16:52
141,Susanville,40.4163,-120.653,77.81,20,27,7.0,US,scattered clouds,2022-04-07 22:16:52
142,Manaure,11.7751,-72.4445,86.81,59,92,11.34,CO,overcast clouds,2022-04-07 22:16:53
143,Brae,60.3964,-1.353,41.25,65,97,23.58,GB,overcast clouds,2022-04-07 22:16:53
144,Adrar,20.5022,-10.0711,75.6,16,0,11.34,MR,clear sky,2022-04-07 22:09:22
145,San Quintin,30.4833,-115.95,79.03,33,2,8.41,MX,clear sky,2022-04-07 22:14:16
146,Cairns,-16.9167,145.7667,80.06,80,58,9.22,AU,broken clouds,2022-04-07 22:16:54
147,Porto Novo,6.4965,2.6036,84.02,79,68,7.25,BJ,broken clouds,2022-04-07 22:16:54
148,Swan River,52.1058,-101.2676,39.09,48,13,8.05,CA,few clouds,2022-04-07 22:16:54
149,Deputatskiy,69.3,139.9,-9.96,100,100,3.09,RU,overcast clouds,2022-04-07 22:16:55
150,Ancud,-41.8697,-73.8203,60.22,85,97,2.98,CL,overcast clouds,2022-04-07 22:13:37
151,Nipawin,53.3668,-104.0009,35.64,75,0,10.36,CA,clear sky,2022-04-07 22:16:55
152,Eydhafushi,5.1033,73.0708,83.39,67,97,2.8,MV,overcast clouds,2022-04-07 22:16:56
153,Nikolskoye,59.7035,30.7861,41.81,100,100,6.64,RU,overcast clouds,2022-04-07 22:16:56
154,Bengkulu,-3.8004,102.2655,73.49,82,95,3.98,ID,overcast clouds,2022-04-07 22:10:36
155,Ternate,0.8,127.4,80.89,79,88,5.12,ID,overcast clouds,2022-04-07 22:16:56
156,Pychas,56.5033,52.4409,29.03,91,100,4.45,RU,overcast clouds,2022-04-07 22:16:57
157,Oum Hadjer,13.2954,19.6966,89.91,14,1,10.98,TD,clear sky,2022-04-07 22:16:57
158,Bangui,4.3612,18.555,79.09,59,59,1.66,CF,broken clouds,2022-04-07 22:16:58
159,Zhanakorgan,43.9098,67.2495,60.31,55,87,5.93,KZ,overcast clouds,2022-04-07 22:16:58
160,Novaya Igirma,57.1334,103.9112,28.56,92,41,8.03,RU,scattered clouds,2022-04-07 22:12:14
161,Salinopolis,-0.6136,-47.3561,77.38,88,96,6.82,BR,heavy intensity rain,2022-04-07 22:16:59
162,Upernavik,72.7868,-56.1549,7.16,95,100,1.12,GL,overcast clouds,2022-04-07 22:16:59
163,Nabire,-3.3667,135.4833,76.69,90,99,2.91,ID,overcast clouds,2022-04-07 22:16:59
164,Domoni,-12.2569,44.5319,79.52,82,56,3.83,KM,broken clouds,2022-04-07 22:17:00
165,Coihaique,-45.5752,-72.0662,56.01,81,20,3.44,CL,few clouds,2022-04-07 22:13:24
166,Constitucion,-35.3333,-72.4167,61.12,81,29,13.78,CL,scattered clouds,2022-04-07 22:04:54
167,Payson,40.0444,-111.7321,60.58,18,0,5.99,US,clear sky,2022-04-07 22:17:00
168,Ambon,-3.6954,128.1814,82.54,78,40,4.47,ID,scattered clouds,2022-04-07 22:17:01
169,Nouadhibou,20.931,-17.0347,64.72,75,0,22.62,MR,clear sky,2022-04-07 22:17:01
170,Mahebourg,-20.4081,57.7,76.24,83,49,14.18,MU,light rain,2022-04-07 22:09:21
171,Palana,59.1167,159.9667,24.4,79,100,2.55,RU,overcast clouds,2022-04-07 22:17:02
172,Lardos,36.0942,28.0157,63.95,88,77,10.78,GR,broken clouds,2022-04-07 22:17:02
173,Atmakur,15.8833,78.5833,79.05,47,88,5.08,IN,overcast clouds,2022-04-07 22:17:03
174,Qaqortoq,60.7167,-46.0333,26.64,91,70,2.21,GL,broken clouds,2022-04-07 22:17:03
175,Sambava,-14.2667,50.1667,75.52,92,95,5.32,MG,overcast clouds,2022-04-07 22:17:03
176,Avera,33.194,-82.5271,71.65,44,0,13.6,US,clear sky,2022-04-07 22:07:08
177,Cururupu,-1.8283,-44.8683,75.81,93,93,3.62,BR,overcast clouds,2022-04-07 22:07:08
178,Nanakuli,21.3906,-158.1547,85.95,42,20,18.41,US,few clouds,2022-04-07 22:17:04
179,Saldanha,-33.0117,17.9442,60.08,71,1,20.76,ZA,clear sky,2022-04-07 22:17:04
180,Barranca,-10.75,-77.7667,71.1,77,97,12.08,PE,overcast clouds,2022-04-07 22:17:05
181,Flinders,-34.5833,150.8552,65.37,90,100,3.0,AU,light rain,2022-04-07 22:04:07
182,Antofagasta,-23.65,-70.4,63.68,74,1,4.74,CL,clear sky,2022-04-07 22:18:05
183,Juneau,58.3019,-134.4197,44.6,96,100,19.57,US,light rain,2022-04-07 22:15:12
184,Portland,45.5234,-122.6762,78.89,30,20,9.22,US,few clouds,2022-04-07 22:16:06
185,Sorland,67.667,12.6934,36.68,55,15,14.12,NO,few clouds,2022-04-07 22:18:06
186,Tocopilla,-22.092,-70.1979,69.51,70,41,7.9,CL,scattered clouds,2022-04-07 22:18:07
187,Geraldton,-28.7667,114.6,73.81,83,40,9.22,AU,scattered clouds,2022-04-07 22:18:07
188,Havoysund,70.9963,24.6622,34.03,94,100,21.54,NO,light snow,2022-04-07 22:18:07
189,Umm Bab,25.2142,50.8072,77.99,39,0,10.74,QA,clear sky,2022-04-07 22:18:08
190,Mayo,38.8876,-76.5119,52.68,94,100,11.5,US,moderate rain,2022-04-07 22:18:08
191,Ilula,-7.6766,36.0366,61.66,97,14,3.58,TZ,few clouds,2022-04-07 22:18:08
192,Yar-Sale,66.8333,70.8333,-7.56,99,100,8.5,RU,overcast clouds,2022-04-07 22:18:09
193,Tambopata,-12.7333,-69.1833,83.73,71,51,0.38,PE,broken clouds,2022-04-07 22:18:09
194,Tiksi,71.6872,128.8694,-10.91,100,78,1.36,RU,broken clouds,2022-04-07 22:13:01
195,Beringovskiy,63.05,179.3167,5.27,68,20,3.51,RU,few clouds,2022-04-07 22:18:10
196,Shenjiamen,29.9576,122.298,56.89,78,0,6.91,CN,clear sky,2022-04-07 22:18:10
197,Gat,31.61,34.7642,83.79,24,100,12.86,IL,overcast clouds,2022-04-07 22:18:11
198,Georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,few clouds,2022-04-07 22:17:55
199,Rogers,36.3668,-95.5836,59.59,53,100,13.8,US,overcast clouds,2022-04-07 22:18:11
200,Mildura,-34.2,142.15,64.36,72,75,10.36,AU,broken clouds,2022-04-07 22:17:48
201,Kamenka,51.3223,42.7678,45.37,74,90,9.28,RU,overcast clouds,2022-04-07 22:18:12
202,Westport,41.1415,-73.3579,52.32,94,100,21.85,US,mist,2022-04-07 22:18:12
203,Brookhaven,31.5791,-90.4407,65.86,46,5,10.83,US,clear sky,2022-04-07 22:17:51
204,San Carlos De Bariloche,-41.1456,-71.3082,55.15,76,75,14.97,AR,broken clouds,2022-04-07 22:17:41
205,Corn Island,12.1694,-83.0418,81.36,76,68,14.65,NI,broken clouds,2022-04-07 22:18:13
206,Bucak,37.4592,30.595,48.72,90,60,1.97,TR,broken clouds,2022-04-07 22:18:13
207,Sao Filipe,14.8961,-24.4956,73.0,75,29,12.55,CV,scattered clouds,2022-04-07 22:10:25
208,Norman Wells,65.282,-126.8329,39.24,35,20,16.11,CA,few clouds,2022-04-07 22:18:13
209,San Vicente,-26.6167,-54.1333,65.16,99,94,3.11,AR,overcast clouds,2022-04-07 22:09:20
210,Chapais,49.7834,-74.8492,35.38,97,100,14.36,CA,overcast clouds,2022-04-07 22:17:46
211,Sinnamary,5.3833,-52.95,76.69,90,97,11.68,GF,light rain,2022-04-07 22:18:14
212,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,100,100,2.24,RU,light snow,2022-04-07 22:18:14
213,Yellowknife,62.456,-114.3525,37.56,44,89,8.01,CA,overcast clouds,2022-04-07 22:09:14
214,Kasongo-Lunda,-6.4667,16.8167,69.4,95,89,1.14,CD,overcast clouds,2022-04-07 22:18:15
